ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
58	SMRT complex	Human	NCOR2 complex	HeLa nuclear extract	O15379;O60907;Q13227;Q9BZK7;Q9Y618	8841;6907;2874;79718;9612	MI:0019-coimmunoprecipitation;MI:0004-affinity chromatography technologies;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2	None	12628926	Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. IR10, a subunit of the N-CoR complex, does not associate with SMRT (NCOR2).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;TBL1;None;IRA1 TBLR1;SMRT, CTG26	Histone deacetylase 3;F-box-like/WD repeat-containing protein TBL1X;G protein pathway suppressor 2;F-box-like/WD repeat-containing protein TBL1XR1;Nuclear receptor corepressor 2
59	AP3 adaptor complex	Human	None	None	O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2	8546;8943;10947;10239;8120;1176;26985	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764	intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome	14.04;20.01.10;20.09.07.06;20.09.18.09.01;70.25	protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome	AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1	None	9151686	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ADTB3A;None;None;None;None;CLAPS3;None	AP-3 complex subunit beta-1;AP-3 complex subunit delta-1;AP-3 complex subunit mu-2;AP-3 complex subunit sigma-2;AP-3 complex subunit beta-2;AP-3 complex subunit sigma-1;AP-3 complex subunit mu-1
60	Interferon-stimulated gene factor 3 transcription complex ISGF3	Human	None	None	P42224;P52630;Q00978	6772;6773;10379	MI:0004- affinity chromatography technologies	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus	11.02.03.04;70.10	transcriptional control;nucleus	STAT1;STAT2;IRF9	None	8943351	The p48 and Stat1:2 heterodimer do not associate stably in the absence of DNA.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;;ISGF3G	Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription 2 ;Interferon regulatory factor 9
61	Mi2/NuRD complex	Human	Mi2-beta-histone deacetylase complex	None	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769	9219;53615;5928;3065;1108;5931;3066	MI:0004-affinity chromatography technologies	GO:0006265;GO:0045892;GO:0032774;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;11.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;organization of chromosome structure;nucleus	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2	None	9790534	None	Dermatomyositis, cancer (PMID:9790534)	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	MTA1L1 PID;None;RBAP48;RPD3L1;None;RBAP46;None	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;Histone-binding protein RBBP4;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone-binding protein RBBP7;Histone deacetylase 2
62	MeCP1 complex	Human	Mi2/NuRD-MBD2 complex	None	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5	9219;53615;5928;3065;1108;5931;3066;8932	MI:0096-pull down	GO:0006265;GO:0045892;GO:0003677;GO:0051276;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;DNA binding;organization of chromosome structure;nucleus	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2	None	10444591	MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes.	CHD4 is involved in dermatomyositis (PMID:9790534).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	MTA1L1 PID;None;RBAP48;RPD3L1;None;RBAP46;None;None	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;Histone-binding protein RBBP4;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone-binding protein RBBP7;Histone deacetylase 2;Methyl-CpG-binding domain protein 2
63	Cohesin-SA1 complex	Human	14S cohesin 1 complex	HeLa cells	O60216;Q14683;Q8WVM7;Q9UQE7	5885;8243;10274;9126	MI:0019-coimmunoprecipitation	GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	M phase;chromosome segregation/division;organization of chromosome structure;chromosome	RAD21;SMC1A;STAG1;SMC3	None	11076961	The results suggest that vertebrate cohesins are regulated by a novel prophase pathway which is distinct from the APC pathway that controls cohesins in yeast.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HR21, KIAA0078, NXP1;DXS423E, KIAA0178, SB1.8, SMC1, SMC1L1;SA1;BAM, BMH, CSPG6, SMC3L1	Double-strand-break repair protein rad21 homolog;Structural maintenance of chromosomes protein 1A;Cohesin subunit SA-1;Structural maintenance of chromosomes protein 3
64	Cohesin-SA2 complex	Human	14S cohesin 2 complex	HeLa cells	O60216;Q14683;Q8N3U4;Q9UQE7	5885;8243;10735;9126	MI:0019-coimmunoprecipitation	GO:0000279;GO:0007067;GO:0051276;GO:0005634	M phase;mitotic nuclear division;chromosome organization;nucleus	10.03.01.01.11;42.10.03;70.10	M phase;organization of chromosome structure;nucleus	RAD21;SMC1A;STAG2;SMC3	None	11076961	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HR21, KIAA0078, NXP1;DXS423E, KIAA0178, SB1.8, SMC1, SMC1L1;SA2;BAM, BMH, CSPG6, SMC3L1	Double-strand-break repair protein rad21 homolog;Structural maintenance of chromosomes protein 1A;Cohesin subunit SA-2;Structural maintenance of chromosomes protein 3
66	TRAP complex	Human	thyroid hormone receptor-associated protein complex	HeLa cells	O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0	9282;9862;7067;5469;9968;9440;9967;10025	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634	positive regulation of transcription, DNA-templated;receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus	11.02.03.04.01;18.02.07;30.01.09.08;30.01;70.10	transcription activation;regulator of receptor activity;hormone mediated signal transduction;cellular signalling;nucleus	MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16	TRAP97 and 93 could not be found in the Uniprot database.	8710870	The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC100, CRSP4, DRIP100, KIAA0130, THRAP4, TRAP100;EAR7 ERBA1 NR1A1 THRA1 THRA2;ARC205, CRSP1, CRSP200, DRIP205, DRIP230, PBP, PPARBP, PPARGBP, RB18A, TRAP220, TRIP2;TRAP230, ARC240, CAGH45, HOPA, KIAA0192, TNRC11;ARC77, CRSP6, DRIP77, DRIP80, TRAP80;TRAP150;DRIP92, THRAP5, TRAP95	Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Thyroid hormone receptor alpha;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 17;Thyroid hormone receptor-associated protein 3;Mediator of RNA polymerase II transcription subunit 16
67	AP4 adaptor complex	Human	None	None	O00189;Q9UPM8;Q9Y587;Q9Y6B7	9179;23431;11154;10717	MI:0019- coimmunoprecipitation; MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005515;GO:0006892;GO:0006897;GO:0030133;GO:0005794	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus	14.04;20.01.10;16.01;20.09.07.06;20.09.18.09.01;70.09;70.08	protein targeting, sorting and translocation;protein transport;protein binding;post Golgi transport;endocytosis;intracellular transport vesicles;Golgi	AP4M1;AP4E1;AP4S1;AP4B1	None	10436028	Adaptor protein complexes (APs) function as vesicle coat components in different membrane traffic pathways.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	MUARP2;;;	AP-4 complex subunit mu-1 ;AP-4 complex subunit epsilon-1 ;AP-4 complex subunit sigma-1 ;AP-4 complex subunit beta-1
68	BCDX2 complex	Human	RAD51B-RAD51C-RAD51D-XRCC2 complex	None	O15315;O43502;O43543;O75771	5890;5889;7516;5892	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation; MI:0027- cosedimentation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	RAD51B;RAD51C;XRCC2;RAD51D	None	15141025	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAD51L1 REC2;RAD51L2;;RAD51L3	DNA repair protein RAD51 homolog 2 ;DNA repair protein RAD51 homolog 3;DNA repair protein XRCC2 ;DNA repair protein RAD51 homolog 4
71	MRN complex (MRE11-RAD50-NBN complex)	Human	MRN complex (MRE11-RAD50-P95 complex)	None	O60934;P49959;Q92878	4683;4361;10111	MI:0006-anti bait coimmunoprecipitation	GO:0006308;GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	NBN;MRE11A;RAD50	None	10612394	The implication of hMre11/hRad50/p95 protein complex in NBS reveals a direct molecular link between DSB repair and cell cycle checkpoint functions.	Rad50-MRE11-p95 protein complex is involved in Nijmegen breakage syndrome.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NBS, NBS1, P95;HNGS1, MRE11;None	Nibrin;Double-strand break repair protein MRE11A;DNA repair protein RAD50
72	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0071- molecular sieving	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16.03;10.01.05.01;16.03.01;32.01.09;42.10.03;70.10	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	MRE11A;RAD50	None	9651580	Mre11 by itself has 3' to 5' exonuclease activity that is increased when Mre11 is in a complex with Rad50.	None	Homo sapiens (Human);Homo sapiens (Human)	HNGS1, MRE11;None	Double-strand break repair protein MRE11A;DNA repair protein RAD50
73	MRN complex (MRE11-RAD50-NBN complex)	Human	None	None	O60934;P49959;Q92878	4683;4361;10111	MI:0071- molecular sieving; MI:0413- electrophoretic mobility shift assay	GO:0006308;GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;10.03.01.03;16.03.01;32.01.09;70.10	DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	NBN;MRE11A;RAD50	None	10346816	On nonhairpin DNA ends, ATP controls a switch in endonuclease specificity that allows Mre11/Rad50/Nbs1 to cleave a 3'-protruding strand at a double-/single-strand transition.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NBS, NBS1, P95;HNGS1, MRE11;None	Nibrin;Double-strand break repair protein MRE11A;DNA repair protein RAD50
74	HOMER3-IP3R-TRPC1 complex	Human	HOMER3-ITPR3-TRPC1 complex	HEK 293 cells	P48995;Q14573;Q9NSC5	7220;3710;9454	MI:0096-pull down;MI:0019-coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0023052;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane	20.01.01.01;20.03.01.01;30.01;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;cellular signalling;eukaryotic plasma membrane / membrane attached	TRPC1;ITPR3;HOMER3	None	14505576	An adaptor protein, termed Homer, facilitates a physical association between TRPC1 and the IP(3)R that is required for the TRP channel to respond to signals. The TRPC1-Homer-IP(3)R complex is dynamic and its disassembly parallels TRPC1 channel activation. Homer's action depends on its ability to crosslink and is blocked by the dominant-negative immediate early gene form, H1a. Since H1a is transcriptionally regulated by cellular activity, this mechanism can affect both short and long-term regulation of TRPC1 function. TRPC1 is present at the plasma membrane.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TRP1;IP3R, IP3R3;None	Short transient receptor potential channel 1;Inositol 1,4,5-trisphosphate receptor type 3;Homer protein homolog 3
75	TSC1-TSC2 complex	Human	None	HEK293 cells	P49815;Q92574	7249;7248	MI:0007-anti tag coimmunoprecipitation	GO:0006417;GO:0042325	regulation of translation;regulation of phosphorylation	12.07	translational control	TSC2;TSC1	None	14651849	TSC1 and TSC2 form a functional complex and inhibit the phosphorylation of S6K and 4EBP1, two key regulators of translation.	Mutations in either the TSC1 or TSC2 tumor suppressor gene are responsible for Tuberous Sclerosis Complex.	Homo sapiens (Human);Homo sapiens (Human)	TSC4;KIAA0243, TSC	Tuberin;Hamartin
80	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Human	Cul1-Rbx1-Skp1-Fbox protein Skp2 SCF ubiquitin ligase complex	None	P62877;P63208;Q13309;Q13616	9978;6500;6502;8454	MI:0114-x-ray crystallography	None	None	None	None	RBX1;SKP1;SKP2;CUL1	None	11961546	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on target proteins. The ubiquitin ligase is referred to as an E3 and operates in conjunction with an E1 ubiquitin-activating enzyme and an E2 ubiquitin-conjugating enzyme. Polyubiquitination marks proteins for degradation by the proteasome.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;FBXL1;None	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;S-phase kinase-associated protein 2;Cullin-1
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	Cul7-Rbx1-Skp1-F-Fbx29 complex	None	P62877;P63208;Q14999;Q8N3Y1	9978;6500;9820;26259	MI:0004-affinity chromatography technologies	GO:0016567;GO:0006511	protein ubiquitination;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;CUL7;FBXW8	None	12481031	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;KIAA0076;FBW6 FBW8 FBX29 FBXO29 FBXW6	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-7;F-box/WD repeat-containing protein 8
86	NUMAC complex (nucleosomal methylation activator complex)	Human	CARM1-associated complex	None	O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9	8289;6597;60;6598;10498;6601;6599;6605;6602;57410	MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients	GO:0006265;GO:0045893;GO:0018126;GO:0006479;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005634	DNA topological change;positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;14.07.09;16.03.01;30.01.09.08;30.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus	ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1	None	14729568	In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF190A BRG1 SNF2B SNF2L4;None;BAF47, INI1, SNF5L1;PRMT4;BAF170;BAF155;BAF57;BAF60A;CVAK90 GKLP NTKL TAPK TEIF TRAP	AT-rich interactive domain-containing protein 1A;Transcription activator BRG1;Actin, cytoplasmic 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Histone-arginine methyltransferase CARM1 ;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1;N-terminal kinase-like protein
